original_path,degraded_path,degradation,restored_path,corrected_path,psnr,ssim,niqe
originals/1 (981).jpg,degraded/1 (981)_blur7.png,blur_7,results/restored_paired/restored_1 (981)_blur7_20251124_190942.png,results/restored_paired/corrected_1 (981)_blur7_20251124_190942.png,30.9115414,0.915599497,5.076106622
originals/1 (981).jpg,degraded/1 (981)_x2.png,downs_up_x2,results/restored_paired/restored_1 (981)_x2_20251124_190942.png,results/restored_paired/corrected_1 (981)_x2_20251124_190942.png,31.50456371,0.928943486,4.57167603
originals/1 (981).jpg,degraded/1 (981)_x4.png,downs_up_x4,results/restored_paired/restored_1 (981)_x4_20251124_190943.png,results/restored_paired/corrected_1 (981)_x4_20251124_190943.png,29.35308819,0.889475804,5.736842482
originals/1 (981).jpg,degraded/1 (981)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (981)_jpg30_20251124_190944.png,results/restored_paired/corrected_1 (981)_jpg30_20251124_190944.png,32.0763394,0.919621452,4.068742015
originals/1 (981).jpg,degraded/1 (981)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (981)_jpg10_20251124_190945.png,results/restored_paired/corrected_1 (981)_jpg10_20251124_190945.png,30.73126933,0.885038848,4.555694202
originals/1 (982).jpg,degraded/1 (982)_gauss10.png,gauss_10,results/restored_paired/restored_1 (982)_gauss10_20251124_190947.png,results/restored_paired/corrected_1 (982)_gauss10_20251124_190947.png,28.65128632,0.699629744,5.231920432
originals/1 (982).jpg,degraded/1 (982)_gauss25.png,gauss_25,results/restored_paired/restored_1 (982)_gauss25_20251124_190948.png,results/restored_paired/corrected_1 (982)_gauss25_20251124_190948.png,21.40435784,0.340534978,5.522295847
originals/1 (982).jpg,degraded/1 (982)_blur3.png,blur_3,results/restored_paired/restored_1 (982)_blur3_20251124_190950.png,results/restored_paired/corrected_1 (982)_blur3_20251124_190950.png,37.34270118,0.966289944,5.050773353
originals/1 (982).jpg,degraded/1 (982)_blur7.png,blur_7,results/restored_paired/restored_1 (982)_blur7_20251124_190951.png,results/restored_paired/corrected_1 (982)_blur7_20251124_190951.png,36.3666149,0.948083126,5.55844538
originals/1 (982).jpg,degraded/1 (982)_x2.png,downs_up_x2,results/restored_paired/restored_1 (982)_x2_20251124_190953.png,results/restored_paired/corrected_1 (982)_x2_20251124_190953.png,36.78289548,0.955213231,5.254382992
originals/1 (982).jpg,degraded/1 (982)_x4.png,downs_up_x4,results/restored_paired/restored_1 (982)_x4_20251124_190955.png,results/restored_paired/corrected_1 (982)_x4_20251124_190955.png,34.53205504,0.93209209,5.515551126
originals/1 (982).jpg,degraded/1 (982)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (982)_jpg30_20251124_190956.png,results/restored_paired/corrected_1 (982)_jpg30_20251124_190956.png,35.26880477,0.932682217,4.933055973
originals/1 (982).jpg,degraded/1 (982)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (982)_jpg10_20251124_190958.png,results/restored_paired/corrected_1 (982)_jpg10_20251124_190958.png,31.80130303,0.873441117,5.575325265
originals/1 (983).jpg,degraded/1 (983)_gauss10.png,gauss_10,results/restored_paired/restored_1 (983)_gauss10_20251124_191004.png,results/restored_paired/corrected_1 (983)_gauss10_20251124_191004.png,25.83765021,0.730028779,4.108031211
originals/1 (983).jpg,degraded/1 (983)_gauss25.png,gauss_25,results/restored_paired/restored_1 (983)_gauss25_20251124_191015.png,results/restored_paired/corrected_1 (983)_gauss25_20251124_191015.png,21.85489485,0.428863867,5.195057947
originals/1 (983).jpg,degraded/1 (983)_blur3.png,blur_3,results/restored_paired/restored_1 (983)_blur3_20251124_191026.png,results/restored_paired/corrected_1 (983)_blur3_20251124_191026.png,26.35453325,0.870873424,4.519340128
originals/1 (983).jpg,degraded/1 (983)_blur7.png,blur_7,results/restored_paired/restored_1 (983)_blur7_20251124_191034.png,results/restored_paired/corrected_1 (983)_blur7_20251124_191034.png,25.59049827,0.839478062,5.444871679
originals/1 (983).jpg,degraded/1 (983)_x2.png,downs_up_x2,results/restored_paired/restored_1 (983)_x2_20251124_191042.png,results/restored_paired/corrected_1 (983)_x2_20251124_191042.png,25.96180928,0.855087444,4.486818527
originals/1 (983).jpg,degraded/1 (983)_x4.png,downs_up_x4,results/restored_paired/restored_1 (983)_x4_20251124_191051.png,results/restored_paired/corrected_1 (983)_x4_20251124_191051.png,24.92327311,0.816894826,7.214721792
originals/1 (983).jpg,degraded/1 (983)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (983)_jpg30_20251124_191059.png,results/restored_paired/corrected_1 (983)_jpg30_20251124_191059.png,26.94461845,0.868575988,4.045036141
originals/1 (983).jpg,degraded/1 (983)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (983)_jpg10_20251124_191106.png,results/restored_paired/corrected_1 (983)_jpg10_20251124_191106.png,26.07689981,0.835149229,4.844249373
originals/1 (984).jpg,degraded/1 (984)_gauss10.png,gauss_10,results/restored_paired/restored_1 (984)_gauss10_20251124_191135.png,results/restored_paired/corrected_1 (984)_gauss10_20251124_191135.png,28.49757225,0.660861481,9.46649037
originals/1 (984).jpg,degraded/1 (984)_gauss25.png,gauss_25,results/restored_paired/restored_1 (984)_gauss25_20251124_191213.png,results/restored_paired/corrected_1 (984)_gauss25_20251124_191213.png,21.20718456,0.297205411,12.29334143
originals/1 (984).jpg,degraded/1 (984)_blur3.png,blur_3,results/restored_paired/restored_1 (984)_blur3_20251124_191250.png,results/restored_paired/corrected_1 (984)_blur3_20251124_191250.png,42.76424508,0.989581593,6.524434354
originals/1 (984).jpg,degraded/1 (984)_blur7.png,blur_7,results/restored_paired/restored_1 (984)_blur7_20251124_191327.png,results/restored_paired/corrected_1 (984)_blur7_20251124_191327.png,37.87626796,0.964083454,7.407223311
originals/1 (984).jpg,degraded/1 (984)_x2.png,downs_up_x2,results/restored_paired/restored_1 (984)_x2_20251124_191404.png,results/restored_paired/corrected_1 (984)_x2_20251124_191404.png,40.17171938,0.981428378,6.153367032
originals/1 (984).jpg,degraded/1 (984)_x4.png,downs_up_x4,results/restored_paired/restored_1 (984)_x4_20251124_191440.png,results/restored_paired/corrected_1 (984)_x4_20251124_191440.png,35.34213862,0.937199897,8.032932411
originals/1 (984).jpg,degraded/1 (984)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (984)_jpg30_20251124_191517.png,results/restored_paired/corrected_1 (984)_jpg30_20251124_191517.png,38.75430538,0.9688064,5.742709929
originals/1 (984).jpg,degraded/1 (984)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (984)_jpg10_20251124_191549.png,results/restored_paired/corrected_1 (984)_jpg10_20251124_191549.png,32.61890032,0.90207849,8.42631043
originals/1 (985).jpg,degraded/1 (985)_gauss10.png,gauss_10,results/restored_paired/restored_1 (985)_gauss10_20251124_191553.png,results/restored_paired/corrected_1 (985)_gauss10_20251124_191553.png,30.40051643,0.85483828,5.962164259
originals/1 (985).jpg,degraded/1 (985)_gauss25.png,gauss_25,results/restored_paired/restored_1 (985)_gauss25_20251124_191553.png,results/restored_paired/corrected_1 (985)_gauss25_20251124_191553.png,24.09567325,0.633513314,6.145222905
originals/1 (985).jpg,degraded/1 (985)_blur3.png,blur_3,results/restored_paired/restored_1 (985)_blur3_20251124_191554.png,results/restored_paired/corrected_1 (985)_blur3_20251124_191554.png,32.14915017,0.942264515,5.226453976
